Guinness World Records 2017;Chris Hadfield;Education;Encyclopedia;2016/08/30;The ultimate annual book of records is back and crammed with more than ever before! Guinness World Records 2017 is bursting with all-new records on topics as diverse as black holes, domes, owls, and killer plants. Want to know the highest anyone has travelled on a skateboard, or the largest loop-the-loop completed in a car? Dying to know just how many tricks a cat can do in one minute? The answers to these questions and so much more are right inside.;16,88;https://images-na.ssl-images-amazon.com/images/I/81TSMo-O-FL.jpg;Central Market;ul. St. Basmannaya, d. 21/4;1;6
Grit: The Power of Passion and Perseverance;Angela Duckworth;Education;Self-Help;2016/05/03;In this instant New York Times bestseller, pioneering psychologist Angela Duckworth shows anyone striving to succeed—be it parents, students, educators, athletes, or business people—that the secret to outstanding achievement is not talent but a special blend of passion and persistence she calls “grit.”;16,8;https://images-na.ssl-images-amazon.com/images/I/51eNdezUTkL.jpg;m. Leninskij prospekt;ul. Vavilova, d. 7;2;8
The Official SAT Study Guide, 2016 Edition;The College Board;Education;Guide;2016/03/08;The Official SAT Study Guide includes 4 official SAT® practice tests created by the test maker. As part of the College Board’s commitment to transparency, all four practice tests are available on the College Board’s website, but The Official SAT Study Guide is the only place to find them in print along with over 300 pages of additional instruction, guidance, and test information. Launching in March 2016, the new SAT introduces new question formats and content. Be ready with strategies and up-to-date information straight from the team that created the exam. Students will gain valuable experience and raise their confidence by taking practice tests, learning about test structure, and gaining a deeper understanding of what is tested on the SAT.;16,46;https://images-na.ssl-images-amazon.com/images/I/513XNG4VBcL._SX377_BO1,204,203,200_.jpg;m. Tekstil'shchiki;Volgogradskij pr-t, d. 46b;3;8
How to Drive: Real World Instruction and Advice from Hollywood's Top Driver;Ben Collins;Education;Guide;2016/05/03;Here's the ultimate guide to being the best—and safest—driver possible. And an absolute must for everyone with a learner's permit. Former Top Gear Stig and professional driver Ben Collins shares expert skills culled from a twenty year career as one of the best drivers in the world, famous for racing in the Le Mans series and NASCAR, piloting the Batmobile, and dodging bullets with James Bond. Refined over thousands of hours of elite-level performance in the physics of driving, his philosophy results in greater control and safer, more efficient and fun driving for all skill levels.;16,22;https://images-na.ssl-images-amazon.com/images/I/51jePXITfGL.jpg;m. Tverskaya;M.Gnezdnikovskij pereulok, d.;4;8
Mindset: The New Psychology of Success;Carol S. Dweck;Education;Self-Help;2007/12/26;In this brilliant book, Dweck shows how success in school, work, sports, the arts, and almost every area of human endeavor can be dramatically influenced by how we approach our goals. People with a fixed mindset—those who believe that abilities are fixed—are far less likely to flourish than those with a growth mindset—those who believe that abilities can be developed through hard work, good strategies, and mentorship. Mindset reveals how great parents, teachers, managers, and athletes can put this idea to use to foster outstanding accomplishment.;12,63;https://images-na.ssl-images-amazon.com/images/I/51ixEMn3MHL.jpg;m. Semenovskaya;ul. Kirpichnaya, d. 33;5;0
Teacher Life: A Snarky Chalkboard Coloring Book (Humorous Coloring Books For Grown- Ups);Papeterie Bleu Adult Coloring Books;Education;Educational Psychology;2016/05/08;You’ve molded play dough and minds and guided lessons and lives. You’re a coach, counselor, and cape-less hero who deserves endless thanks and a starting salary of ten million dollars a year. When inspiring and shaping the future of the world gets to be too much, flip open this Coloring Book for Grown Ups for some laughs and love!;8,09;https://images-na.ssl-images-amazon.com/images/I/519F7LxZfsL.jpg;m. Aehroport;Kochnovskij proezd, d. 3;0;6
The Official ACT Prep Guide, 2016 - 2017;ACT;Education;Guide;2016/07/06;The Official ACT Prep Guide 2016-2017 is the bestselling resource for students gearing up for the ACT test. This comprehensive guide walks you through the entire test experience, from registration through results, with expert advice straight from the test's creators. You'll find effective test-taking strategies, tips for boosting your score on the English, math, reading, and science tests, and detailed information on the enhanced optional writing test. Three new full-length practice tests help you assess your readiness so you can spot weak areas well in advance, and the ACT experts provide valuable advice on preparing both mentally and physically so you can manage anxiety and be fully confident on test day. You also get free online bonus content to help you start college on the right foot, including tips for preparing an application that gets noticed, getting into your first-choice school, being a successful student, and much more.;15,95;http://media.wiley.com/product_data/coverImage300/18/11192254/1119225418.jpg;m. Lubyanka;Krivokolennyj pereulok, d. 3;8;3
GRE Premier 2017 with 6 Practice Tests: Online + Book + Videos + Mobile (Kaplan Test Prep);Kaplan;Education;Guide;2016/12/02;GRE Premier 2017 is a comprehensive prep system that includes both book and mobile-enabled online components. Get access to in-depth strategies, test information, and practice questions to help you score higher on the GRE.;23,46;https://images-na.ssl-images-amazon.com/images/I/5144YiJeAiL._SX383_BO1,204,203,200_.jpg;Central Market;ul. St. Basmannaya, d. 21/4;2;0
6 Practice Tests for the SAT, 2017 Edition (College Test Preparation);Princeton Review;Education;Guide;2016/06/14;6 Practice Tests for the SAT provides six complete opportunities to assess whether your skills are up to the mark on the new SAT’s higher-level math questions and reading comprehension passages. Detailed answer explanations for every practice problem support your progress, and help you to master every aspect of the test.;11;https://images-na.ssl-images-amazon.com/images/I/51ZoIqxR-pL._SX382_BO1,204,203,200_.jpg;m. Leninskij prospekt;ul. Vavilova, d. 7;5;5
Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script;J.K. Rowling;Fiction;Drama;2016/07/31;Based on an original new story by J.K. Rowling, Jack Thorne and John Tiffany, a new play by Jack Thorne, Harry Potter and the Cursed Child is the eighth story in the Harry Potter series and the first official Harry Potter story to be presented on stage. The play will receive its world premiere in London’s West End on July 30, 2016.;17,98;https://images-na.ssl-images-amazon.com/images/I/916RAIVJSBL.jpg;m. Tekstil'shchiki;Volgogradskij pr-t, d. 46b;9;12
